propeller_name,blade_name,propeller_brand,number_of_blades,propeller_diameter,propeller_pitch,single_blade_area,total_blade_area,disc_radius,disc_area,solidity
apce 9.0x9.0 - 2,apce 9.0x9.0,apce,2,9.0,9.0,,,4.5,63.61725123519331,
apcsf 8.0x3.8 - 2,apcsf 8.0x3.8,apcsf,2,8.0,3.8,,,4.0,50.26548245743669,
apcsf 8.0x6.0 - 2,apcsf 8.0x6.0,apcsf,2,8.0,6.0,,,4.0,50.26548245743669,
apcsf 9.0x3.8 - 2,apcsf 9.0x3.8,apcsf,2,9.0,3.8,,,4.5,63.61725123519331,
apcsf 9.0x7.5 - 2,apcsf 9.0x7.5,apcsf,2,9.0,7.5,,,4.5,63.61725123519331,
apcsp 10.0x10.0 - 2,apcsp 10.0x10.0,apcsp,2,10.0,10.0,,,5.0,78.53981633974483,
apcsp 10.0x3.0 - 2,apcsp 10.0x3.0,apcsp,2,10.0,3.0,,,5.0,78.53981633974483,
apcsp 10.0x4.0 - 2,apcsp 10.0x4.0,apcsp,2,10.0,4.0,,,5.0,78.53981633974483,
apcsp 10.0x5.0 - 2,apcsp 10.0x5.0,apcsp,2,10.0,5.0,,,5.0,78.53981633974483,
apcsp 10.0x7.0 - 2,apcsp 10.0x7.0,apcsp,2,10.0,7.0,,,5.0,78.53981633974483,
apcsp 10.0x9.0 - 2,apcsp 10.0x9.0,apcsp,2,10.0,9.0,,,5.0,78.53981633974483,
apcsp 11.0x3.0 - 2,apcsp 11.0x3.0,apcsp,2,11.0,3.0,,,5.5,95.03317777109125,
apcsp 7.0x6.0 - 2,apcsp 7.0x6.0,apcsp,2,7.0,6.0,,,3.5,38.48451000647496,
apcsp 7.0x9.0 - 2,apcsp 7.0x9.0,apcsp,2,7.0,9.0,,,3.5,38.48451000647496,
apcsp 8.0x10.0 - 2,apcsp 8.0x10.0,apcsp,2,8.0,10.0,,,4.0,50.26548245743669,
apcsp 8.0x4.0 - 2,apcsp 8.0x4.0,apcsp,2,8.0,4.0,,,4.0,50.26548245743669,
apcsp 8.0x5.0 - 2,apcsp 8.0x5.0,apcsp,2,8.0,5.0,,,4.0,50.26548245743669,
apcsp 8.0x6.0 - 2,apcsp 8.0x6.0,apcsp,2,8.0,6.0,,,4.0,50.26548245743669,
apcsp 8.0x7.0 - 2,apcsp 8.0x7.0,apcsp,2,8.0,7.0,,,4.0,50.26548245743669,
apcsp 8.0x8.0 - 2,apcsp 8.0x8.0,apcsp,2,8.0,8.0,,,4.0,50.26548245743669,
apcsp 8.0x9.0 - 2,apcsp 8.0x9.0,apcsp,2,8.0,9.0,,,4.0,50.26548245743669,
apcsp 9.0x10.0 - 2,apcsp 9.0x10.0,apcsp,2,9.0,10.0,,,4.5,63.61725123519331,
apcsp 9.0x8.0 - 2,apcsp 9.0x8.0,apcsp,2,9.0,8.0,,,4.5,63.61725123519331,
apcsp 9.0x9.0 - 2,apcsp 9.0x9.0,apcsp,2,9.0,9.0,,,4.5,63.61725123519331,
da4052 5.0x1.58 - 2,da4052 5.0x1.58,da4052,2,5.0,1.58,,,2.5,19.634954084936208,
da4052 5.0x2.65 - 2,da4052 5.0x2.65,da4052,2,5.0,2.65,,,2.5,19.634954084936208,
da4052 5.0x4.92 - 2,da4052 5.0x4.92,da4052,2,5.0,4.92,,,2.5,19.634954084936208,
da4052 9.0x2.85 - 2,da4052 9.0x2.85,da4052,2,9.0,2.85,,,4.5,63.61725123519331,
da4052 9.0x4.76 - 2,da4052 9.0x4.76,da4052,2,9.0,4.76,,,4.5,63.61725123519331,
da4052 9.0x8.95 - 2,da4052 9.0x8.95,da4052,2,9.0,8.95,,,4.5,63.61725123519331,
grsn 11.0x10.0 - 2,grsn 11.0x10.0,grsn,2,11.0,10.0,,,5.5,95.03317777109125,
grsn 11.0x7.0 - 2,grsn 11.0x7.0,grsn,2,11.0,7.0,,,5.5,95.03317777109125,
grsn 9.0x4.0 - 2,grsn 9.0x4.0,grsn,2,9.0,4.0,,,4.5,63.61725123519331,
grsn 9.0x6.0 - 2,grsn 9.0x6.0,grsn,2,9.0,6.0,,,4.5,63.61725123519331,
gwssf 8.0x4.3 - 2,gwssf 8.0x4.3,gwssf,2,8.0,4.3,,,4.0,50.26548245743669,
gwssf 8.0x6.0 - 2,gwssf 8.0x6.0,gwssf,2,8.0,6.0,,,4.0,50.26548245743669,
kavfk 11.0x6.0 - 2,kavfk 11.0x6.0,kavfk,2,11.0,6.0,,,5.5,95.03317777109125,
kavfk 11.0x7.75 - 2,kavfk 11.0x7.75,kavfk,2,11.0,7.75,,,5.5,95.03317777109125,
kavfk 9.0x4.0 - 2,kavfk 9.0x4.0,kavfk,2,9.0,4.0,,,4.5,63.61725123519331,
kavfk 9.0x6.0 - 2,kavfk 9.0x6.0,kavfk,2,9.0,6.0,,,4.5,63.61725123519331,
ma 11.0x10.0 - 2,ma 11.0x10.0,ma,2,11.0,10.0,,,5.5,95.03317777109125,
